vendor,contract_file,category,risk_level,lock_in_mechanism,clause_text,keywords_found
Airtable,airtable.html,pricing_terms,High,unilateral_pricing,"Airtable Privacy Policy - Airtable Airtable home or view your bases Platform Platform Platform & Products Airtable Platform Unlock the power of a next-gen app-building platform AI App Building NEW Enable teams to build custom business apps—no code needed AI Agents NEW Deploy thousands of agents inside your apps Portals Collaborate seamlessly with guest users outside your organization Scale Build apps on top of massive data sets with 100M records Platform Features Learn about automations, interfa",2
Airtable,airtable.html,support_obligations,High,no_commitment,"Airtable Privacy Policy - Airtable Airtable home or view your bases Platform Platform Platform & Products Airtable Platform Unlock the power of a next-gen app-building platform AI App Building NEW Enable teams to build custom business apps—no code needed AI Agents NEW Deploy thousands of agents inside your apps Portals Collaborate seamlessly with guest users outside your organization Scale Build apps on top of massive data sets with 100M records Platform Features Learn about automations, interfa",5
Airtable,airtable.html,service_level,High,no_guarantee,"Airtable Privacy Policy - Airtable Airtable home or view your bases Platform Platform Platform & Products Airtable Platform Unlock the power of a next-gen app-building platform AI App Building NEW Enable teams to build custom business apps—no code needed AI Agents NEW Deploy thousands of agents inside your apps Portals Collaborate seamlessly with guest users outside your organization Scale Build apps on top of massive data sets with 100M records Platform Features Learn about automations, interfa",2
Amplitude,amplitude.html,pricing_terms,High,price_increase_risk,"Terms of Service | Amplitude Amplitude Platform AI AI Agents Sense, decide, and act faster than ever before AI Visibility See how your brand shows up in AI search AI Feedback Distill what your customers say they want Amplitude MCP Insights from the comfort of your favorite AI tool AI Agents AI Visibility AI Feedback Amplitude MCP Insights Product Analytics Understand the full user journey Marketing Analytics Get the metrics you need with one line of code Session Replay Visualize sessions based o",6
Amplitude,amplitude.html,support_obligations,High,no_support_guarantee,"Terms of Service | Amplitude Amplitude Platform AI AI Agents Sense, decide, and act faster than ever before AI Visibility See how your brand shows up in AI search AI Feedback Distill what your customers say they want Amplitude MCP Insights from the comfort of your favorite AI tool AI Agents AI Visibility AI Feedback Amplitude MCP Insights Product Analytics Understand the full user journey Marketing Analytics Get the metrics you need with one line of code Session Replay Visualize sessions based o",2
Amplitude,amplitude.html,termination_exit,Medium,standard,"Terms of Service | Amplitude Amplitude Platform AI AI Agents Sense, decide, and act faster than ever before AI Visibility See how your brand shows up in AI search AI Feedback Distill what your customers say they want Amplitude MCP Insights from the comfort of your favorite AI tool AI Agents AI Visibility AI Feedback Amplitude MCP Insights Product Analytics Understand the full user journey Marketing Analytics Get the metrics you need with one line of code Session Replay Visualize sessions based o",3
Amplitude,amplitude.html,service_level,High,no_guarantee,"Terms of Service | Amplitude Amplitude Platform AI AI Agents Sense, decide, and act faster than ever before AI Visibility See how your brand shows up in AI search AI Feedback Distill what your customers say they want Amplitude MCP Insights from the comfort of your favorite AI tool AI Agents AI Visibility AI Feedback Amplitude MCP Insights Product Analytics Understand the full user journey Marketing Analytics Get the metrics you need with one line of code Session Replay Visualize sessions based o",6
Asana,asana.html,pricing_terms,High,price_increase_risk,Asana User Terms of Service • Asana Asana Home Product chevron-down icon Solutions chevron-down icon Learning & support chevron-down icon Pricing Choose your preferred language Bahasa Indonesia Deutsch English Español Français Italiano 日本語 한국어 Nederlands Polski Português Русский Svenska 繁體中文 Contact sales Log in Get started Launch Asana Upgrade Contact sales chevron-down icon settings icon My tasks Inbox My organization Help Center Language plus icon Add another account Log out Product chevron-d,5
Asana,asana.html,termination_exit,Medium,standard,Asana User Terms of Service • Asana Asana Home Product chevron-down icon Solutions chevron-down icon Learning & support chevron-down icon Pricing Choose your preferred language Bahasa Indonesia Deutsch English Español Français Italiano 日本語 한국어 Nederlands Polski Português Русский Svenska 繁體中文 Contact sales Log in Get started Launch Asana Upgrade Contact sales chevron-down icon settings icon My tasks Inbox My organization Help Center Language plus icon Add another account Log out Product chevron-d,3
Asana,asana.html,service_level,High,no_guarantee,Asana User Terms of Service • Asana Asana Home Product chevron-down icon Solutions chevron-down icon Learning & support chevron-down icon Pricing Choose your preferred language Bahasa Indonesia Deutsch English Español Français Italiano 日本語 한국어 Nederlands Polski Português Русский Svenska 繁體中文 Contact sales Log in Get started Launch Asana Upgrade Contact sales chevron-down icon settings icon My tasks Inbox My organization Help Center Language plus icon Add another account Log out Product chevron-d,7
Atlassian,atlassian.html,data_portability,High,data_restriction,Atlassian Customer Agreement | Atlassian Close View this page in your language ? All languages Choose your language 中文 Deutsch English Español Français Italiano 한국어 Nederlands 日本語 Português Pусский Polski Get it free Products Featured Developers Product Managers IT professionals Business Teams Leadership Teams Featured Developers Product Managers IT professionals Business Teams Leadership Teams See all apps Featured FEATURED APPS Jira Flexible project management Confluence Collaborative knowledg,2
Atlassian,atlassian.html,pricing_terms,High,price_increase_risk,Atlassian Customer Agreement | Atlassian Close View this page in your language ? All languages Choose your language 中文 Deutsch English Español Français Italiano 한국어 Nederlands 日本語 Português Pусский Polski Get it free Products Featured Developers Product Managers IT professionals Business Teams Leadership Teams Featured Developers Product Managers IT professionals Business Teams Leadership Teams See all apps Featured FEATURED APPS Jira Flexible project management Confluence Collaborative knowledg,8
Atlassian,atlassian.html,support_obligations,High,no_support_guarantee,Atlassian Customer Agreement | Atlassian Close View this page in your language ? All languages Choose your language 中文 Deutsch English Español Français Italiano 한국어 Nederlands 日本語 Português Pусский Polski Get it free Products Featured Developers Product Managers IT professionals Business Teams Leadership Teams Featured Developers Product Managers IT professionals Business Teams Leadership Teams See all apps Featured FEATURED APPS Jira Flexible project management Confluence Collaborative knowledg,6
Atlassian,atlassian.html,termination_exit,Medium,automatic_renewal,Atlassian Customer Agreement | Atlassian Close View this page in your language ? All languages Choose your language 中文 Deutsch English Español Français Italiano 한국어 Nederlands 日本語 Português Pусский Polski Get it free Products Featured Developers Product Managers IT professionals Business Teams Leadership Teams Featured Developers Product Managers IT professionals Business Teams Leadership Teams See all apps Featured FEATURED APPS Jira Flexible project management Confluence Collaborative knowledg,4
Atlassian,atlassian.html,service_level,High,no_compensation,Atlassian Customer Agreement | Atlassian Close View this page in your language ? All languages Choose your language 中文 Deutsch English Español Français Italiano 한국어 Nederlands 日本語 Português Pусский Polski Get it free Products Featured Developers Product Managers IT professionals Business Teams Leadership Teams Featured Developers Product Managers IT professionals Business Teams Leadership Teams See all apps Featured FEATURED APPS Jira Flexible project management Confluence Collaborative knowledg,7
Aws,aws.html,pricing_terms,High,price_increase_risk,"AWS Service Terms Skip to main content Filter: All English Contact us AWS Marketplace Support My account Search Filter: All Sign in to console Create account AWS Service Terms Last Updated: December 10, 2025 1. Universal Service Terms (Applicable to All Services) The Service Terms below govern your use of the Services. Capitalized terms used in these Service Terms but not defined below are defined in the AWS Customer Agreement or other agreement with us governing your use of the Services (the “A",10
Aws,aws.html,support_obligations,High,no_support_guarantee,"AWS Service Terms Skip to main content Filter: All English Contact us AWS Marketplace Support My account Search Filter: All Sign in to console Create account AWS Service Terms Last Updated: December 10, 2025 1. Universal Service Terms (Applicable to All Services) The Service Terms below govern your use of the Services. Capitalized terms used in these Service Terms but not defined below are defined in the AWS Customer Agreement or other agreement with us governing your use of the Services (the “A",8
Aws,aws.html,termination_exit,High,automatic_renewal,"AWS Service Terms Skip to main content Filter: All English Contact us AWS Marketplace Support My account Search Filter: All Sign in to console Create account AWS Service Terms Last Updated: December 10, 2025 1. Universal Service Terms (Applicable to All Services) The Service Terms below govern your use of the Services. Capitalized terms used in these Service Terms but not defined below are defined in the AWS Customer Agreement or other agreement with us governing your use of the Services (the “A",6
Aws,aws.html,service_level,High,no_compensation,"AWS Service Terms Skip to main content Filter: All English Contact us AWS Marketplace Support My account Search Filter: All Sign in to console Create account AWS Service Terms Last Updated: December 10, 2025 1. Universal Service Terms (Applicable to All Services) The Service Terms below govern your use of the Services. Capitalized terms used in these Service Terms but not defined below are defined in the AWS Customer Agreement or other agreement with us governing your use of the Services (the “A",11
